Munip,CodIBGE,Index,DtInicial,DtFinal,Regiao,Estado,Cidade,Produto,NmPostPesq,UnidMedida,PcMedRev,PcDevRev,PcMinRev,PcMaxRev,MgMedRev,CfVarRev,PcMedDist,PcDevDist,PcMinDist,PcMaxDist,MgMedDist,CfVarDist,Periodo,Combust,TipoRelat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
ITABIRA,3131703,39330,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ITABIRA,GASOLINA COMUM,10,R$/l,4.283,0.111031977375889,3.999,4.399,0.761,0.026,3.522,0.098062407849967,3.453,3.6653,0.028,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,110.04373198512718,23.49737799161864,97.3791245701802,157.11366732203211,1026.595986424108,668.1182117399405,98.74398759101011,2576.4404297173437
ITAJUBÁ,3132404,39337,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ITAJUBA,GASOLINA COMUM,8,R$/l,4.468,0.168898743968941,4.299,4.849,NA,0.038,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,130.3980527267839,38.22151335131313,48.56739189857482,173.2930434894354,981.6255657544033,840.750528153185,91.5782498170459,2646.126431010172
ITAÚNA,3133808,39349,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ITAUNA,GASOLINA COMUM,6,R$/l,4.025,0.078878809997785,3.987,4.186,0.476,0.02,3.549,0.212273455712202,3.3986,3.6988,0.06,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,88.97173030882561,74.52924770295489,51.30438821862851,247.11427711970498,1001.2181849161121,702.356648805255,51.628090598615685,2509.449701667051
ITUIUTABA,3134202,39351,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,ITUIUTABA,GASOLINA COMUM,13,R$/l,4.208,0.060121245018413,4.099,4.359,0.488,0.014,3.72,0,3.72,3.72,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,151.82868197690567,40.988900445059066,112.2693143058015,201.7607674249905,1174.25270668834,589.7426778182015,481.26342843542375,2090.933418458001
JANAÚBA,3135100,39359,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,JANAUBA,GASOLINA COMUM,7,R$/l,4.476,0.186736891552437,4.179,4.699,0.942,0.042,3.534,0,3.5339,3.5339,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,360.31066862998495,133.67580534476556,91.03490247756481,467.7346561629867,1140.6776850022577,507.56186982826404,469.9071944315823,2299.26786351047
JANUÁRIA,3135209,39360,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,JANUARIA,GASOLINA COMUM,5,R$/l,4.232,0.053255985579088,4.19,4.29,0.595,0.013,3.637,0.210293556724879,3.488,3.7854,0.058,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,335.2655388490988,118.75273149348742,59.89066694279003,405.63443660182844,1155.269783022734,476.1598406923821,497.6513528945093,2188.0498340955223
JOÃO MONLEVADE,3136207,39366,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,JOAO MONLEVADE,GASOLINA COMUM,4,R$/l,3.91,0.281709513506378,3.64,4.29,NA,0.072,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,111.36857654813491,26.152426313973145,97.27224652149174,163.74826156033188,1024.5587630433597,676.4561127567848,98.3099187025407,2592.886012096798
JOÃO PINHEIRO,3136306,39368,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,JOAO PINHEIRO,GASOLINA COMUM,6,R$/l,4.156,0.041523085948261,4.099,4.2,0.62,0.01,3.536,0.153927125614688,3.45,3.7658,0.044,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,271.8756516460256,12.833850949745665,254.3397019801913,288.32492174328644,1092.4805255432054,546.8247546961418,330.5213055811089,2206.9276661831473
JUIZ DE FORA,3136702,39373,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,JUIZ DE FORA,GASOLINA COMUM,13,R$/l,4.415,0.099876269607796,4.19,4.499,NA,0.023,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,104.56986086043347,1.56560399676633,99.96282917819657,105.44855147143534,1004.2696916235486,780.3423222767522,106.91743975724144,2732.9112211920005
LAVRAS,3138203,39381,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,LAVRAS,GASOLINA COMUM,9,R$/l,4.319,0.091680756492904,4.15,4.429,0.67,0.021,3.649,0,3.6486,3.6486,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,164.7427807426586,16.84449495649658,114.2295893378397,170.94679751069503,985.7116575716885,769.0947257826324,168.879333426448,2575.497811156906
LEOPOLDINA,3138401,39383,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,LEOPOLDINA,GASOLINA COMUM,7,R$/l,4.321,0.003401680257083,4.32,4.329,NA,0.001,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,144.38116643424013,3.846026338707237,133.26335064924487,146.38988633259018,1027.3576694722112,753.6639843079728,146.85222894440648,2765.6646064882657
MANHUAÇU,3139409,39399,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,MANHUACU,GASOLINA COMUM,9,R$/l,4.249,0.055498748734644,4.17,4.299,NA,0.013,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,195.60000098191165,25.25205617359186,153.62280370542626,218.82607484958032,1054.2797605330873,680.9684883530279,217.84502322561448,2714.72920370513
MONTE CARMELO,3143104,39415,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,MONTE CARMELO,GASOLINA COMUM,9,R$/l,4.046,0.071454142248329,3.966,4.149,0.482,0.018,3.564,0.066015351749928,3.51,3.6604,0.019,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,145.88356599851886,73.12457343062562,83.46174088797379,265.33599329569597,1096.1689854997448,594.4672143462004,383.02988741607277,2194.3011571575857
MONTES CLAROS,3143302,39416,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,MONTES CLAROS,GASOLINA COMUM,14,R$/l,4.097,0.225042853062002,3.879,4.57,0.393,0.055,3.704,0.016263455967291,3.6929,3.7159,0.004,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,294.8066102763925,112.01588600165664,4.111464631359514,359.06070741720765,1106.3281438017257,524.1478524349817,361.0374117223883,2313.7396681721584
MURIAÉ,3143906,39419,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,MURIAE,GASOLINA COMUM,9,R$/l,4.304,0.058159264094381,4.2,4.349,0.576,0.014,3.728,0.120555796210717,3.632,3.877,0.032,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,190.87373286387518,22.133459328236118,124.54034593871732,199.0299662209261,1037.985454946692,728.0391613148855,199.39265410269718,2755.5656996688062
NOVA LIMA,3144805,39427,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,NOVA LIMA,GASOLINA COMUM,7,R$/l,4.284,0.047465275528036,4.199,4.349,NA,0.011,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,67.61516212104031,82.65358683448072,25.18399909822293,233.00019541716705,1006.9214458158453,695.7940775761034,25.748386220809767,2555.6944185887414
OLIVEIRA,3145604,39431,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,OLIVEIRA,GASOLINA COMUM,9,R$/l,4.399,0.314260242474291,4.15,4.899,NA,0.071,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,125.80969815486282,28.421334118400505,111.13987864915079,190.15168108520763,991.7711971553359,737.2591163016261,110.37315393117238,2542.3108169259913
OURO PRETO,3146107,39435,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,OURO PRETO,GASOLINA COMUM,8,R$/l,4.356,0.092128694924933,4.19,4.49,0.643,0.021,3.713,0.110337618245094,3.5883,3.7992,0.03,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,109.04793563706937,61.88067154960231,77.09909937833677,232.88574935965812,1008.0266273769321,711.7779703795758,76.48588499626618,2612.5817269018926
PARACATU,3147006,39440,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,PARACATU,GASOLINA COMUM,7,R$/l,4.358,0.08327007122553,4.29,4.529,0.728,0.019,3.63,0.117591857711323,3.5466,3.7129,0.032,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,222.32806123871669,21.558350177470132,195.8783670386744,244.66859364695765,1129.209883264731,508.76754070450954,423.31956096390655,2113.657853209315
PARÁ DE MINAS,3147105,39439,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,PARA DE MINAS,GASOLINA COMUM,7,R$/l,4.043,0.077014840870352,3.996,4.163,0.353,0.019,3.69,0.026457513110646,3.66,3.71,0.007,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,93.29332441254077,78.9767650748639,53.03807969654226,266.67388009324884,1005.8065762674307,689.8336322154269,54.794881001475986,2490.7393473038424
PASSOS,3147907,39451,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,PASSOS,GASOLINA COMUM,8,R$/l,4.485,0.147642183286872,4.289,4.699,0.719,0.033,3.766,0.13668374080336,3.6697,3.863,0.036,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,146.6089809122234,58.94312409069855,4.603374579508764,227.0080117952806,1016.8114389979623,733.9659505650192,228.9349935759074,2423.83006258362
PATOS DE MINAS,3148004,39454,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,PATOS DE MINAS,GASOLINA COMUM,10,R$/l,4.165,0.092842758348607,3.997,4.288,0.539,0.022,3.626,0.035134076525979,3.5871,3.656,0.01,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,222.2921644868195,40.67078001003883,187.92171952312202,303.0822368752851,1071.0582272153943,595.380166103128,296.98628882749927,2250.6621222861236
PATROCÍNIO,3148103,39455,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,PATROCINIO,GASOLINA COMUM,7,R$/l,4.299,0.159804046673835,4.1,4.548,0.656,0.037,3.643,0.110025815152627,3.565,3.7206,0.03,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,170.3360316276278,44.300882622589384,134.85348024783215,254.44585924627643,1073.3845264496224,613.1274677390743,325.55539403368164,2246.0727276977254
POÇOS DE CALDAS,3151800,39472,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,POCOS DE CALDAS,GASOLINA COMUM,11,R$/l,4.335,0.044482478675214,4.249,4.397,NA,0.01,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,116.07488074011444,7.154049280610222,94.79740746836387,119.85432312934856,998.7559659901488,805.1958256524782,119.46465497195204,2520.3101378143288
POUSO ALEGRE,3152501,39481,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,POUSO ALEGRE,GASOLINA COMUM,13,R$/l,4.291,0.191165353314068,3.999,4.659,0.437,0.045,3.854,0,3.8538,3.8538,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,119.15667695350464,31.029110815035832,32.4702561020514,137.1578454060392,984.3817405919455,832.7513258284566,106.36168837202605,2598.68943182386
SABARÁ,3156700,39500,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,SABARA,GASOLINA COMUM,6,R$/l,4.327,0.173068387253902,4.099,4.599,0.59,0.04,3.737,0,3.7366,3.7366,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,68.76043858440433,78.40877307829365,28.569380682335915,225.6564848238507,1009.1780223678164,690.2673598225958,29.793324543997628,2550.3880672472364
SÃO JOÃO DEL REI,3162500,39528,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,SAO JOAO DEL REI,GASOLINA COMUM,5,R$/l,4.179,0.083666002653408,4.099,4.299,0.485,0.02,3.694,0.288782409436586,3.49,3.8984,0.078,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,136.36922442958843,9.781952363744148,130.60646112238396,158.4133968523129,989.5543464492282,758.7900326340924,129.39673557826075,2617.7834278048135
SÃO SEBASTIÃO DO PARAÍSO,3164704,39540,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,SAO SEBASTIAO DO PARAISO,GASOLINA COMUM,7,R$/l,4.657,0.098542231700786,4.588,4.799,0.858,0.021,3.799,0.088459058326437,3.7369,3.862,0.023,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,127.59220352929296,53.04494689548433,40.23297763057237,198.97622962727186,1023.7301080081936,744.7125489292004,201.0413762859548,2417.259904861368
SETE LAGOAS,3167202,39551,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,SETE LAGOAS,GASOLINA COMUM,18,R$/l,3.98,0.058791561574926,3.899,4.099,0.36,0.015,3.62,0,3.6195,3.6195,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,95.2813271868629,76.2158754535819,55.98176042232647,247.7827197715405,1016.5170857603489,665.3215077927832,59.38586242186991,2485.7258493145646
TEÓFILO OTONI,3168606,39565,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,TEOFILO OTONI,GASOLINA COMUM,7,R$/l,4.009,0.106306161627631,3.899,4.199,NA,0.027,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,290.22582109006214,89.31250526214603,121.64395305206905,358.13603070412034,1107.8854193207653,584.0655775215058,359.1503675989645,2588.969606096256
TIMÓTEO,3168705,39568,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,TIMOTEO,GASOLINA COMUM,4,R$/l,4.14,0.052262159669625,4.096,4.199,0.54,0.013,3.6,0.205060966544099,3.455,3.745,0.057,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,147.66229498390157,20.725719947507077,106.13690861197585,158.49129904758504,1042.4160643879338,658.1133319141917,158.23209118789424,2617.3134424404934
TRÊS CORAÇÕES,3169307,39571,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,TRES CORACOES,GASOLINA COMUM,6,R$/l,4.172,0.08981462390205,4.089,4.299,0.502,0.022,3.67,0,3.67,3.67,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,179.16900129635036,49.45181376779451,59.549494454370446,226.93054409236078,982.6550773454792,796.8168432813993,175.20209196375657,2596.583648490973
UBÁ,3169901,39577,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,UBA,GASOLINA COMUM,7,R$/l,4.253,0.076404313017127,4.18,4.399,0.693,0.018,3.56,0.10040916292849,3.489,3.631,0.028,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,179.08386519417027,1.369712685416934,175.0535769563737,180.02557373748854,1017.6520604334856,739.3637468002864,174.8546897989606,2711.7745451782134
UBERABA,3170107,39579,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,UBERABA,GASOLINA COMUM,23,R$/l,3.938,0.130014638883899,3.749,4.299,0.417,0.033,3.521,0.074645247671905,3.425,3.5923,0.021,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,106.38635444939031,36.33378692788085,31.805036043111443,157.65471318732253,1086.73211200512,654.2367562039861,345.3021360802171,2248.086018913814
UBERLÂNDIA,3170206,39580,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,UBERLANDIA,GASOLINA COMUM,39,R$/l,3.948,0.06899789744298,3.83,4.199,0.394,0.017,3.554,0.068910611526472,3.4171,3.6307,0.019,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,90.56865805336318,102.73466111729594,5.965655113197618,239.84652937224666,1120.490868035127,598.7463615251139,438.2811462950049,2159.3166436849037
UNAÍ,3170404,39582,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,UNAI,GASOLINA COMUM,10,R$/l,4.268,0.094229566013598,4.169,4.399,NA,0.022,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,196.59752891632792,53.81750048125273,130.32902167630883,247.99596326933735,1163.768424415987,462.66817202597,498.36138089675717,2044.2829323027663
VARGINHA,3170701,39590,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,VARGINHA,GASOLINA COMUM,11,R$/l,4.076,0.18231401482058401,3.868,4.299,0.274,0.045,3.802,0.109338324327139,3.6409,3.8849,0.029,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,180.5201736923511,45.36287499581491,60.49277994895528,217.6688397465498,984.493373301892,789.4002512519406,184.89714012140544,2573.0485595927257
VIÇOSA,3171303,39594,2020-04-26,2020-05-02,SUDESTE,MINAS GERAIS,VICOSA,GASOLINA COMUM,6,R$/l,4.548,0.04773154093469,4.488,4.59,0.863,0.01,3.685,0.004242640687119,3.682,3.688,0.001,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,164.72747845296513,20.52801070972152,153.7669858194158,215.9891638605477,1021.3598535123422,719.9098086884096,153.24247046227342,2687.560066751594
ARACRUZ,3200607,39168,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,ARACRUZ,GASOLINA COMUM,6,R$/l,3.912,0.09198641204004,3.79,3.999,NA,0.024,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,274.9868513828619,139.60842590522,40.23981679793829,400.8662964408726,1132.1677999003557,639.0049296823596,400.3021127425011,2824.375559519907
CACHOEIRO DE ITAPEMIRIM,3201209,39225,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,GASOLINA COMUM,13,R$/l,3.964,0.141790066919101,3.79,4.19,0.632,0.036,3.332,0.046999893616901,3.3021,3.3858,0.014,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,232.84842361953977,83.02964875732856,107.4318055477704,304.14139725417857,1092.1693339633941,688.7040350170039,304.25561124522864,2830.090449437255
CARIACICA,3201308,39245,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,CARIACICA,GASOLINA COMUM,11,R$/l,3.685,0.054582214885603,3.64,3.79,0.312,0.015,3.373,0,3.3729,3.3729,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,263.39605750280555,143.770387228233,15.210038484168823,389.8503926284594,1126.2023764499338,655.7328502851813,388.98119650206246,2847.731042762106
COLATINA,3201506,39258,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,COLATINA,GASOLINA COMUM,9,R$/l,4.071,0.106118382531544,3.96,4.19,0.701,0.026,3.37,0,3.3699,3.3699,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,258.31468314653,117.10510923157824,83.1832681066069,366.8000913103396,1117.057575757773,633.4719452989955,366.45292301294376,2775.544504569106
GUARAPARI,3202405,39310,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,GUARAPARI,GASOLINA COMUM,12,R$/l,4.006,0.100591093948809,3.88,4.199,NA,0.025,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,259.8239703931218,122.77138242994812,51.28015831967861,366.1392763243052,1121.8069521323168,670.1400839797516,366.08148662379494,2865.552585672575
LINHARES,3203205,39386,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,LINHARES,GASOLINA COMUM,11,R$/l,3.856,0.149062037115729,3.59,4.09,NA,0.039,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,303.7338584196741,135.3133969959469,88.624996466717,427.7256738645854,1143.7192121996784,624.6697015272765,427.4161257763268,2813.027766244089
SÃO MATEUS,3204906,39537,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,SAO MATEUS,GASOLINA COMUM,6,R$/l,3.983,0.026962319385889,3.93,3.999,0.556,0.007,3.427,0,3.427,3.427,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,349.402104343044,128.0767518950615,166.78367436971465,466.452645031887,1157.6228749350535,607.3855355137272,466.5095446354457,2785.7631126236547
SERRA,3205002,39547,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,SERRA,GASOLINA COMUM,13,R$/l,3.705,0.057162723195076,3.65,3.89,0.361,0.015,3.344,0,3.3444,3.3444,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,268.8802262776272,150.92717408317577,5.82293036226582,400.8960228914969,1131.8338730082735,649.5711358446467,400.1184783007232,2847.475442647293
VILA VELHA,3205200,39596,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,VILA VELHA,GASOLINA COMUM,14,R$/l,3.786,0.1272609372661,3.69,4.19,0.406,0.034,3.38,0,3.38,3.38,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,272.79030732174965,151.57599593704546,9.384096088896792,405.4643038576509,1131.0608856053598,655.7575271633859,399.44065571915684,2858.6065627806147
VITÓRIA,3205309,39599,2020-04-26,2020-05-02,SUDESTE,ESPIRITO SANTO,VITORIA,GASOLINA COMUM,20,R$/l,3.717,0.064897875238919,3.64,3.899,NA,0.017,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,268.41372171635527,148.53997043933927,9.817180765356254,403.14428618731915,1129.6216548190416,655.5736359068892,396.326785895427,2855.0452191464533
ANGRA DOS REIS,3300100,39163,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,ANGRA DOS REIS,GASOLINA COMUM,7,R$/l,4.849,0.228035085019828,4.669,5.299,0.895,0.047,3.954,0,3.9543,3.9543,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,100.4931805822709,21.798508531228507,53.425747468891615,111.98558288596817,999.4979846379254,851.6610564607347,111.58388699239572,2769.9766306597894
ARARUAMA,3300209,39177,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,ARARUAMA,GASOLINA COMUM,11,R$/l,4.504,0.054446804731357,4.399,4.599,0.693,0.012,3.811,0,3.8107,3.8107,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,97.96213606443393,1.257827072639437,94.57010175169943,99.15129702724452,1057.7197492754617,802.5510750184541,92.24092991097116,2894.0639156246343
BARRA DO PIRAÍ,3300308,39192,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,BARRA DO PIRAI,GASOLINA COMUM,7,R$/l,4.67,0.216372254184663,4.359,4.899,0.741,0.046,3.929,0.161036683191543,3.7432,4.0242000000000004,0.041,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,55.06760479868537,12.958325029033537,26.39223814647716,62.57546620373424,996.5733394843829,823.9414148553482,64.42604146552324,2757.460313859315
BARRA MANSA,3300407,39193,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,BARRA MANSA,GASOLINA COMUM,13,R$/l,4.491,0.128831036235202,4.299,4.739,0.658,0.029,3.833,0.211336027848227,3.561,4.029,0.055,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,75.7828765770152,34.14129379776163,4.916176387286902,93.82221834799033,992.3002434198098,831.0981778591812,95.38132032314071,2740.5253390815997
BELFORD ROXO,3300456,39201,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,BELFORD ROXO,GASOLINA COMUM,11,R$/l,4.488,0.221226621774637,4.199,4.898,0.642,0.049,3.846,0.179617763907446,3.7111,4.2589,0.047,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,13.849003602963512,0.631984942900429,12.781967184086705,15.178010299364985,1009.0562278092598,832.7095038701659,14.60427923050519,2811.1658696540194
CABO FRIO,3300704,39219,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,CABO FRIO,GASOLINA COMUM,8,R$/l,4.866,0.128313163226315,4.689,4.998,0.954,0.026,3.912,0.271175450585041,3.7199,4.1034,0.069,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,131.1602030680009,2.46666131104728,127.46170637965444,137.780279352563,1073.9253490994433,791.5177566883503,125.17709380227706,2917.155015758259
CAMPOS DOS GOYTACAZES,3301009,39239,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,GASOLINA COMUM,18,R$/l,4.353,0.147766597444285,4.1,4.64,0.523,0.034,3.83,0.272951854848725,3.5209,4.5226,0.071,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,200.28116123418866,65.20276329784572,6.70282887303757,227.24802974536084,1087.7177087185132,729.2916675642128,226.54542718852562,2880.3201885995545
DUQUE DE CAXIAS,3301702,39286,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,DUQUE DE CAXIAS,GASOLINA COMUM,22,R$/l,4.374,0.228387823308288,4.099,4.999,0.655,0.052,3.719,0.195336260518119,3.53,4.2911,0.053,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,8.761032608347355,1.022197549688516,5.79813321605564,9.483331087964396,1011.5086059821602,832.4949689708653,8.292012956561372,2819.026506244901
ITABORAÍ,3301900,39331,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,ITABORAI,GASOLINA COMUM,9,R$/l,4.51,0.033333333333333,4.499,4.599,0.58,0.007,3.93,0.055310155788366,3.8658,3.9616,0.014,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,43.25274005941294,0.781642081018599,41.57871703627475,44.260762960948036,1029.3253604222793,816.6708116971404,41.600138753107466,2846.9426670026287
ITAGUAÍ,3302007,39334,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,ITAGUAI,GASOLINA COMUM,7,R$/l,4.585,0.121498579258791,4.399,4.699,0.705,0.026,3.88,0.121404403407235,3.7111,3.9972,0.031,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,52.98323761629275,1.314848410709474,49.94479775739372,54.14744715118856,1004.682219984243,840.1052701571764,54.91285463287532,2794.533099751378
ITAPERUNA,3302205,39341,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,ITAPERUNA,GASOLINA COMUM,7,R$/l,4.514,0.155916033568743,4.349,4.79,0.705,0.035,3.809,0.283620529933924,3.6089,4.01,0.074,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,202.31347681342743,40.506114276159614,82.31177082610343,219.4952249382737,1057.6771509756554,720.8115549119436,219.82424798476544,2797.316225036509
MACAÉ,3302403,39392,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,MACAE,GASOLINA COMUM,10,R$/l,4.734,0.031015408357066,4.68,4.76,NA,0.007,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,151.074552247553,25.00119258195266,76.0853313870557,160.23751240701193,1074.5228380372002,765.7884770188643,158.16582018735332,2894.5808922330298
MAGÉ,3302502,39396,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,MAGE,GASOLINA COMUM,7,R$/l,4.497,0.228080186400686,3.987,4.599,0.762,0.051,3.735,0,3.735,3.735,0,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,25.594581910862793,0.646818541815657,24.79941688122017,26.809257376197017,1019.420282228954,819.297787474848,24.283245879782807,2826.95378476968
MARICÁ,3302700,39403,2020-04-26,2020-05-02,SUDESTE,RIO DE JANEIRO,MARICA,GASOLINA COMUM,10,R$/l,4.217,0.262328801316211,3.933,4.569,0.43,0.062,3.787,0.048670627692685,3.7311,3.8154,0.013,NA,05/01/2020 EM DIANTE,TODOS,MUNICÍPIO,52.12264806226083,1.893023941291544,46.6818329681621,53.48850807334097,1035.7279002149621,820.8966186831233,43.2557548232315,2863.6772618759774
