CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3303500,16068661.734,16833644.449,20150.43,21077.7,0.047607120472351,0.046017380274267,821128
3303906,12693830.212,12811831.463,42574.17,42958.85,0.009295953154348,0.009035525531091,306191
3304201,6332463.377,7731527.107,50224.16,60915.1,0.220935147462756,0.212864485936649,131341
3304300,1543307.595,1600478.093,26625.74,27465.65,0.037044137011456,0.031545038748219,60201
3304557,328440481.384,337594461.666,50538.35,51776.18,0.027871047574363,0.024492885106063,6718903
3304706,1077168.633,1049371.305,26115.71,25401.13,-0.025805920399466,-0.027362074398896,42479
3304755,956780.276,939627.253,23200.3,22811.47,-0.017927860168388,-0.016759697072883,42205
3304904,16903509.59,17225904.034,16190.2,16408.34,0.019072633542961,0.013473582784647,1084839
3305109,9405813.855,9194527.345,20423.4,19968.09,-0.022463394795729,-0.022293545638826,472406
3305406,827312.035,706646.288,46995.68,39777.44,-0.145852764005784,-0.153593692015947,18228
3305505,2188281.365,2092720.9,26128.73,24569.66,-0.043669185566546,-0.059668801353912,89170
3305802,5239125.415,5085014.319,30008.68,28882.28,-0.029415424100894,-0.037535806306709,182594
3306008,3638040.706,3714350.808,45917.46,46779.06,0.020975604224039,0.018764104112031,81804
3306107,2010736.052,2198875.368,27173.21,29619.67,0.093567385840059,0.090032057309387,76523
3306305,10435922.787,11304596.111,39581.14,42626.52,0.083238764959252,0.076940179085291,273012
3500105,979975.651,1054541.08,27924.31,30010.56,0.076089062951626,0.07471088811147,35068
3501608,10435437.408,10382872.903,45053.93,44396.3,-0.005037115642101,-0.0145965068974,239597
3501905,4076977.288,4358990.772,57631.64,61227.8,0.069172198930336,0.062399057184561,72195
3502804,6609261.268,6970532.865,34098.59,35769.43,0.054661418629214,0.049000266579938,197016
3503208,9012929.739,9009108.254,39415.6,39039.34,-4.24000309629e-4,-0.009545966571611,236072
3503307,5014670.965,5284021.06,38544.15,40249.39,0.053712416403775,0.044241214295814,134236
3504008,3065889.24,3303947.858,29978.97,32100.85,0.077647494532451,0.070778949376846,104386
3504107,5583469.773,6162799.316,40328.71,44119.9,0.103757979635076,0.094007222150176,142761
3504503,2546313.676,2621040.062,28630.21,29292.24,0.029346889467831,0.023123476914769,90655
3505500,4251390.071,4443581.396,35443.61,36834.01,0.045206702229229,0.039228509737016,122098
3505708,47063172.57,47553588.858,177640.45,177747.83,0.010420383098283,6.04479441478e-4,274182
3506003,13267502.614,13771752.864,35919.47,37051.72,0.038006417987656,0.031521901631622,376818
3506102,3254483.196,3260501.417,41887.94,41929.78,0.001849209425139,9.98855517841e-4,77496
