StationID,RzSocial,Endereco,Bairro,Bandeira,PcVenda,PcCompra,ModCompra,Fornecedor,DtColeta,Cidade,Produto,UnidMedida,DtInicial,DtFinal,Estado,CodIBGE,Place,Lon,Lat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax
41,AUTO POSTO GIZA LTDA,"AVENIDA SAO MIGUEL, 5891",Ermelino Matarazzo,BRANCA,3.579,3.006,FOB,PETROZARA,2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 5891, Ermelino Matarazzo, SAO PAULO, SAO PAULO, BRAZIL",-46.4768196,-23.5060925,47314.68074322018,37570.57836755266,5684.788930863277,109959.44654762182,1002288.3783840248,903912.164722297,14853.74768414253,2679996.568010723
42,AUTO POSTO NOVO CANTANHEDE LTDA,"AVENIDA SAO MIGUEL, 3981",Vila Rio Branco,BRANCA,3.579,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA SAO MIGUEL, 3981, Vila Rio Branco, SAO PAULO, SAO PAULO, BRAZIL",-46.49490429999999,-23.5085289,47143.758660488595,37461.03989038717,7220.193560095126,109013.80697896329,1002719.7494452728,904011.9602068055,14625.287203064345,2679164.807382271
43,CARREFOUR COMERCIO E INDUSTRIA LTDA,"VIA ANCHIETA, 3398 PARTE",Ipiranga,BRANCA,3.579,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"VIA ANCHIETA, 3398 PARTE, Ipiranga, SAO PAULO, SAO PAULO, BRAZIL",-46.5980642,-23.6271259,49304.96897161942,41441.64838305787,2315.44438018238,114060.77543016209,1008444.999420858,908367.4421545856,11861.635207192492,2684005.1634657476
44,CENTER CAR AUTO POSTO LTDA,"AVENIDA JAGUARE, 717",Jaguaré,RAIZEN,3.597,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA JAGUARE, 717, Jaguaré, SAO PAULO, SAO PAULO, BRAZIL",-46.7435143,-23.5539454,51892.85890894796,36018.03058973786,8914.40967580664,100332.07966578174,1010869.7857249733,904117.0221716163,28281.365865701136,2668946.185937585
45,VM RODRIGUES COMBUSTIVEIS LTDA,"RUA ESTEVAO RIBEIRO GARCIA, 30",Jardim Virginia,RAIZEN,3.599,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA ESTEVAO RIBEIRO GARCIA, 30, Jardim Virginia, SAO PAULO, SAO PAULO, BRAZIL",-46.3916652,-23.4960852,49611.06070922215,37443.358314900084,5804.726912811698,114837.63495871318,1000570.0034603154,903247.5716664995,18458.698957242905,2684062.185245256
46,AUTO POSTO RIGA LTDA,"VIA ANCHIETA, 1751",Moinho Velho,PETROBRAS DISTRIBUIDORA S.A.,3.599,NA,"NA","NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"VIA ANCHIETA, 1751, Moinho Velho, SAO PAULO, SAO PAULO, BRAZIL",-46.6014318,-23.6168846,48886.42365258499,41193.67012632919,1784.3465768713872,112904.5274437755,1008235.4357717133,907957.1729235038,12388.144749910429,2682875.0562524498
47,POSTO DO PAPAI ANCHIETA LTDA,"V ANCHIETA, 862",Moinho Velho,PETROBRAS DISTRIBUIDORA S.A.,3.599,3.18,FOB,"NA",2020-04-28,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"V ANCHIETA, 862, Moinho Velho, SAO PAULO, SAO PAULO, BRAZIL",-46.6000617,-23.6092822,48529.19084339565,41053.77096864807,1444.7510501214092,112242.82047541035,1007968.6878563515,907684.5155117167,12455.697356641607,2682259.3000374166
48,AUTO POSTO ESTORIL LTDA,"RUA ALVARENGA, 2045",Butantã,RAIZEN,3.599,NA,"NA","NA",2020-04-30,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"RUA ALVARENGA, 2045, Butantã, SAO PAULO, SAO PAULO, BRAZIL",-46.7120837,-23.5635756,51531.580649059266,37525.53141239821,12200.898677315578,102665.97767973876,1010127.2655556164,904820.5864173616,24900.94233816972,2671632.0050448696
49,CUCA LEGAL AUTO SERVICOS LTDA,"AVENIDA BOTURUSSU, 415",Ermelino Matarazzo,RAIZEN,3.599,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA BOTURUSSU, 415, Ermelino Matarazzo, SAO PAULO, SAO PAULO, BRAZIL",-46.4883035,-23.5035235,47173.12408025496,37347.97507086527,6347.495265912632,109000.46091767862,1002468.3011502064,903793.7181676938,15137.160806071823,2679093.7791750743
50,AUTO POSTO LARGO DO JAPONES LTDA,"AVENIDA IMIRIM, 4676",V. Nova Cachoeirinha,BRANCA,3.599,NA,"NA","NA",2020-04-29,SAO PAULO,Gasolina,R$/l,2020-04-26,2020-05-02,SAO PAULO,3550308,"AVENIDA IMIRIM, 4676, V. Nova Cachoeirinha, SAO PAULO, SAO PAULO, BRAZIL",-46.6668621,-23.4742713,49404.70101251787,33881.89342690221,15654.802885691068,96163.49998666933,1006411.8437407814,901619.644336313,26285.75838243967,2666069.0167813823
